unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water_sewer,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
-2534926524627137753,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2023-02-15T00:00:00.000,2023,One-Bedroom,One bathroom,501-750 Sq.Ft,$2001-$2250,N,N,N,N,nan,Yes,nan,2023-03-27T00:00:00.000,"[
  {
    ""date_range_type"": ""Occupied"",
    ""end_date"": ""2022-10-28"",
    ""start_date"": ""2021-08-23""
  }
]",1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
3448446828230723354,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2022-11-02T00:00:00.000,2022,One-Bedroom,One bathroom,501-750 Sq.Ft,$2001-$2250,N,N,N,N,nan,Yes,nan,2023-03-27T00:00:00.000,"[
  {
    ""date_range_type"": ""Occupied"",
    ""end_date"": ""2022-09-14"",
    ""start_date"": ""2021-04-08""
  }
]",1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
6114051206409716925,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2020-08-21T00:00:00.000,2020,Studio,One bathroom,501-750 Sq.Ft,$1751-$2000,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
2600943434640503546,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2022-02-01T00:00:00.000,2022,Studio,One bathroom,501-750 Sq.Ft,$1751-$2000,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
1324339272956577267,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2020-10-31T00:00:00.000,2020,Studio,One bathroom,501-750 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
4859607651508496382,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Occupied by non-owner,2019-03-25T00:00:00.000,2019,Studio,One bathroom,501-750 Sq.Ft,$2001-$2250,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-129760911784364150,0323,47,Housing Inventory - Unit information (2023),2023,500 Block of OFARRELL ST,Vacant,nan,2023,Studio,One bathroom,501-750 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1927.0,POINT (-122.413782611 37.785631782),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-5117304379831557230,8707,1,Housing Inventory - Unit information (2023),2023,300 Block of BERRY ST,Occupied by non-owner,2020-06-01T00:00:00.000,2020,One-Bedroom,One bathroom,751-1000 Sq.Ft,$3751-$4000,Y,Y,Y,Y,nan,nan,nan,2023-03-27T00:00:00.000,nan,2007.0,POINT (-122.396640077 37.773112484),Mission Bay,6,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-4888916557166050537,0335,38,Housing Inventory - Unit information (2023),2023,300 Block of HYDE ST,Occupied by non-owner,2006-04-01T00:00:00.000,2006,Studio,One bathroom,251-500 Sq.Ft,$1001-$1250,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,1925.0,POINT (-122.416045464 37.783973516),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
5768821605581742773,0335,38,Housing Inventory - Unit information (2023),2023,300 Block of HYDE ST,Vacant,nan,2023,One-Bedroom,One bathroom,251-500 Sq.Ft,nan,N,N,N,N,nan,Yes,nan,2023-03-27T00:00:00.000,"[
  {
    ""date_range_type"": ""Vacant"",
    ""end_date"": ""2022-12-17"",
    ""start_date"": ""2021-04-30""
  }
]",1925.0,POINT (-122.416045464 37.783973516),Tenderloin,5,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
